post_text,likes,comments,shares,post_time,post_link
"More than a Pilates session.A moment to reconnect, recharge, and move with purpose.…See more",,,,rpSodosten4021citn2gu3tuhmh6e5:50g166a4g1g68Ja552m9l1l1ua,https://www.facebook.com/reel/1592364386232194
"More than a Pilates session.A moment to reconnect, recharge, and move with purpose.…See more",,,,rpSodosten4021citn2gu3tuhmh6e5:50g166a4g1g68Ja552m9l1l1ua,https://www.facebook.com/reel/1592364386232194/
Discover Your Inner Queen…See more,,,,rpSodosten4021citn2gu3tuhmh6e5:50g165a9g1g68Ja550m8l1l1ua,https://www.facebook.com/Worldfitstanley/posts/pfbid0y4sRa6WDebj1jsUsDzY6RHqSDByRuPSecLvqNRhLNL5kkgykLtNDB7x5vCWfoe9Zl
Pilates. Sunshine. Mediterranean views.…See more,,,,rpSodosten4021citn2gu3tuhmh6e5:50g163a7g1g68Ja553m4l1l1ua,https://www.facebook.com/reel/816123351447174
Pilates. Sunshine. Mediterranean views.…See more,,,,rpSodosten4021citn2gu3tuhmh6e5:50g163a7g1g68Ja553m4l1l1ua,https://www.facebook.com/reel/816123351447174/
"The first Pilates experience on a yacht in the Mediterranean Sea, Egypt.…See more",,,,eSortnpsoda1hJ07hu9t85nf8ihlgu2390m81lucea:t3a0l20imluli3,https://www.facebook.com/reel/1541802281074165
"The first Pilates experience on a yacht in the Mediterranean Sea, Egypt.…See more",,,,eSortnpsoda1hJ07hu9t85nf8ihlgu2390m81lucea:t3a0l20imluli3,https://www.facebook.com/reel/1541802281074165/
Pilates on a Yacht…See more,,,,eSortnpsoda2hJ07hu9t85nf8ihlgu1090m81lucea:t3a0l50imluli5,https://www.facebook.com/reel/943416982060639
Pilates on a Yacht…See more,,,,eSortnpsoda2hJ07hu9t85nf8ihlgu1090m81lucea:t3a0l50imluli5,https://www.facebook.com/reel/943416982060639/
This isn’t just an event. It’s a lifestyle.…See more,,,,eSortnpsoda2hJ07hu9t85nf8ihlgu1390m81lucea:t3a0l40imluli1,https://www.facebook.com/Worldfitstanley/posts/pfbid036j2Vy87Tu3EKEbGGDJeeFDS44c8GLJQ4ZhhSUmWKHvVd5KXJ4mBU6KxH7eAVeJJhl
